,k/d,accuracy
1,0.175,0.63
2,0.212,0.95
3,0.14,0.52
4,0.187,0.88
5,0.17,1.2
6,0.209,2
7,0.15,1.07
8,0.251,1.19
9,0.176,0.64
10,0.197,0.62
11,0.208,0.48
12,0.205,0.45
13,0.257,1.8
14,0.286,2.9
15,0.227,0.81
16,0.245,2.4
17,0.219,0.81
18,0.208,0.73
19,0.197,0.64
20,0.194,0.83
21,0.218,1.35
22,0.168,0.62
23,0.238,2.07
24,0.242,1.5
25,0.248,1.14
26,0.276,1.81
27,0.202,1.42
28,0.233,1.21
29,0.214,0.88
30,0.201,0.85
31,0.214,0.62
32,0.164,0.54
33,0.144,0.5
34,0.218,0.86
35,0.171,0.83
36,0.284,0.62
37,0.279,1.4
38,0.287,4
39,0.203,0.43
40,0.206,1.4
41,0.333,1.33
42,0.169,1.25
43,0.209,2.67
44,0.299,1.5
45,0.183,0.57
46,0.099,0.17
47,0.229,0.71
48,0.246,1
49,0.222,1
50,0.122,0.38
51,0.211,0.89
52,0.262,1.44
53,0.181,0.89
54,0.14,0.5
55,0.208,1.83
56,0.219,1.43
57,0.293,2
58,0.25,1.17
59,0.203,0.86
60,0.131,1.2
61,0.269,0.88
62,0.218,1.83
63,0.19,0.5
64,0.095,0.14
65,0.215,0.73
66,0.2,1.08
67,0.213,0.96
68,0.213,0.76
69,0.252,0.93
70,0.225,1.22
71,0.251,1.12
72,0.241,1.29
73,0.259,1.1
74,0.21,0.7
75,0.189,0.82
76,0.23,0.8
77,0.239,1.16
78,0.238,1.04
79,0.203,1.12
80,0.251,1.33
81,0.221,1.42
82,0.22,1.27
83,0.241,0.72
84,0.277,1.03
85,0.251,1.5
86,0.19,0.55
87,0.208,0.78
88,0.256,0.89
89,0.216,0.57
90,0.159,0.44
91,0.211,1.14
92,0.228,0.77
93,0.213,1.83
94,0.197,1.17
95,0.264,1.2
96,0.259,1.44
97,0.275,1
98,0.27,0.83
99,0.181,0.7
100,0.26,1.2
101,0.251,1.05
102,0.233,1.08
103,0.235,1.08
104,0.216,1
105,0.251,1.83
106,0.199,1.33
107,0.247,1.12
108,0.239,1.27
109,0.202,0.79
110,0.169,0.55
111,0.26,1
112,0.211,0.59
113,0.219,1.22
114,0.206,0.88
115,0.201,1.15
116,0.212,1.42
117,0.228,0.56
118,0.228,1.24
119,0.173,0.74
120,0.141,0.94
121,0.308,1.33
122,0.241,1.31
123,0.266,1.2
124,0.214,1.15
125,0.233,0.83
126,0.232,0.7
127,0.23,0.64
128,0.23,1.12
129,0.281,0.5
130,0.285,1.25
131,0.265,2
132,0.234,0.56
133,0.291,2
134,0.18,1
135,0.281,0.9
136,0.183,0.4
137,0.202,0.95
138,0.197,1.71
139,0.199,1
140,0.205,1.11
141,0.269,1.35
142,0.203,0.67
143,0.222,0.58
144,0.258,0.87
145,0.383,2.75
146,0.246,0.67
147,0.348,3.67
148,0.113,0.6
149,0.276,0.5
150,0.238,0.86
151,0.247,0.5
152,0.201,0.38
153,0.139,0.14
154,0.2,1.17
155,0.162,0.71
156,0.284,1.5
157,0.195,1.6
158,0.205,1
159,0.169,1.25
160,0.207,1
161,0.263,1.38
162,0.305,1.05
163,0.218,1.13
164,0.26,1.65
165,0.256,0.9
166,0.237,0.96
167,0.204,0.55
168,0.238,0.77
169,0.285,1.35
170,0.206,1.42
171,0.188,1.4
172,0.213,1.25
173,0.221,0.67
174,0.126,0.59
175,0.244,0.84
176,0.223,0.91
177,0.218,0.91
178,0.258,1.13
179,0.242,1.29
180,0.25,0.92
181,0.243,0.82
182,0.252,0.96
183,0.21,0.73
184,0.263,1.3
185,0.226,0.92
186,0.207,0.55
187,0.215,0.71
188,0.26,0.75
189,0.266,1.58
190,0.228,1.04
191,0.222,1.47
192,0.26,1.48
193,0.255,1.83
194,0.135,0.14
195,0.154,0.43
196,0.125,0.29
197,0.227,2.5
198,0.156,3.25
199,0.201,1
200,0.194,0.5
201,0.23,0.63
202,0.184,0.94
203,0.236,2.14
204,0.234,0.94
205,0.23,1.06
206,0.26,0.7
207,0.195,0.94
208,0.241,0.95
209,0.188,1
210,0.187,0.9
211,0.235,1
212,0.217,0.62
213,0.215,1.2
214,0.183,1.11
215,0.241,1.48
216,0.234,0.85
217,0.238,1.15
218,0.183,0.5
219,0.236,0.76
220,0.204,0.84
221,0.234,0.94
222,0.251,1.56
223,0.219,0.89
224,0.201,1.57
225,0.248,1.3
226,0.193,1.06
227,0.228,1.05
228,0.207,0.85
229,0.255,0.89
230,0.094,0.72
231,0.28,1.35
232,0.26,0.85
233,0.2,3
234,0.159,1.67
235,0.157,2
236,0.261,1.5
237,0.171,0.43
238,0.364,0.83
